Id,Cusp_ID,Cycloid_Nu,Confidence,CompassA,Lat_dd,Long_dd
2,193,69,1,244.5922819,25.24,133.857
3,194,69,1,112.7144124,26.081,138.134
3,194,69,1,226.0416267,26.026,137.875
4,195,69,1,88.89829388,26.119,140.612
4,195,69,1,249.4439548,26.061,140.268
5,196,69,1,101.7682889,26.395,141.963
5,196,69,1,232.6960517,26.337,141.703
1,197,70,1,64.39781245,31.958,150.337
1,197,70,1,305.217593,31.985,149.91
1,198,71,1,59.5742162,29.234,141.636
1,198,71,1,215.5376778,28.94,141.313
2,199,71,1,79.69515353,31.485,145.456
2,199,71,1,232.5946434,31.351,145.185
3,200,71,1,82.73675526,34.819,150.53
3,200,71,1,207.2351467,34.542,150.032
4,201,71,1,99.6197278,36.586,154.685
4,201,71,1,216.2538377,36.449,154.364
1,202,72,1,64.02560604,27.944,139.922
1,202,72,1,219.0938589,27.676,139.594
2,203,73,1,52.69605172,27.553,130.87
2,203,73,1,289.3978124,27.541,130.538
3,204,73,1,60.70863783,27.618,130.8
3,204,73,1,296.5650512,27.628,130.545
4,205,73,1,40.15599962,30.819,139.262
4,205,73,1,268.3397176,30.532,138.648
1,206,74,2,37.74680539,27.494,128.728
1,206,74,2,292.1094483,27.378,128.46
2,207,74,2,38.65980825,27.582,128.652
2,207,74,2,285.1240073,27.538,128.387
3,208,74,1,61.03233935,29.771,134.684
3,208,74,1,274.8990925,29.64,134.23
4,209,74,2,43.75463573,32.473,144.388
4,209,74,2,275.5275402,32.313,143.873
5,210,74,2,46.66833745,32.639,144.295
5,210,74,2,272.8912696,32.415,143.654
1,211,75,2,92.72631099,33.193,157.502
1,211,75,2,305.5376778,33.421,156.867
2,212,75,1,90,31.713,161.855
2,212,75,1,304.8753283,31.854,161.278
3,213,75,2,87.83892051,30.471,167.43
3,213,75,2,296.5650512,30.563,166.843
4,214,75,2,85.60129464,28.03,173.67
4,214,75,2,301.4295656,28.205,172.918
1,215,76,1,42.18444332,21.968,170.778
1,215,76,1,173.8298249,21.459,170.657
2,216,76,1,54.83356396,24.535,171.948
2,216,76,1,174.4278022,24.021,171.647
3,217,76,1,38.65980825,27.456,173.646
3,217,76,1,186.9529575,26.942,173.408
4,218,76,2,58.39249775,28.509,174.51
4,218,76,2,196.3895403,28.213,174.282
1,219,77,1,8.84181456,19.969,173.326
1,219,77,1,145.713123,19.563,173.375
2,220,77,2,41.05481377,22.614,173.484
2,220,77,2,164.9315118,22.086,173.326
3,221,77,1,39.80557109,26.732,174.673
3,221,77,1,173.990994,26.271,174.57
4,222,77,1,37.87498365,29.449,175.576
4,222,77,1,175.0302593,29.201,175.504
1,223,78,1,89.06080905,30.911,176.415
1,223,78,1,332.8188889,31.178,175.796
1,224,79,1,212.855722,52.212,-176.089
1,224,79,1,317.8155567,53.202,-176.069
2,225,79,3,200.6954507,31.726,-176.341
2,225,79,3,3.468229259,32.793,-176.137
1,226,80,1,60.2551187,29.679,130.894
1,226,80,1,274.3160275,29.556,130.421
2,227,80,1,24.77514057,30.586,132.71
2,227,80,1,258.6900675,30.345,132.438
3,228,80,1,33.34070735,32.329,137.052
3,228,80,1,263.7965521,32.136,136.721
1,229,81,1,38.51692631,32.351,129.335
1,229,81,1,263.0470425,32.095,128.924
2,230,81,3,48.21548399,32.526,129.265
2,230,81,3,254.8459319,32.266,128.765
3,231,81,1,6.340191746,34.661,131.544
3,231,81,1,228.691386,34.207,131.307
4,232,81,2,22.61986495,34.731,131.389
4,232,81,2,236.6114864,34.152,130.97
5,233,81,1,41.46770542,38.283,135.589
5,233,81,1,267.3369992,38.092,135.143
6,234,81,2,47.20259816,38.368,135.515
6,234,81,2,257.7352263,38.221,135.197
7,235,81,3,52.7335981,38.585,135.535
7,235,81,3,252.7585406,38.236,134.778
8,236,81,1,48.48327147,47.58,148.217
8,236,81,1,252.2161116,47.172,147.557
1,237,82,1,346.3286929,44.172,137.327
1,237,82,1,238.2405199,43.91,137.167
3,238,82,1,0.734521034,44.198,137.119
3,238,82,1,239.0362435,43.864,136.942
1,239,83,1,287.102729,45.682,135.105
1,239,83,1,185.128191,45.449,135.2
1,240,85,1,19.17900803,56.473,140.616
1,240,85,1,266.6335393,56.248,140.31
1,241,84,1,309.4278022,53.581,135.033
1,241,84,1,213.6900675,53.246,135.06
1,243,86,1,215.217593,70.855,131.931
1,243,86,1,77.19573393,71.108,132.443
2,244,86,1,156.5713072,69.784,130.475
2,244,86,1,65.77225468,70.033,130.658
3,245,86,1,173.2110254,68.061,129.769
3,245,86,1,33.99645915,68.522,129.932
4,246,86,2,152.9873347,62.808,128.887
4,246,86,2,19.57312583,63.367,128.864
1,247,87,1,233.8806592,33.572,77.963
1,247,87,1,355.3331416,34.203,78.211
1,248,88,1,211.5042667,34.595,58.462
1,248,88,1,320.3893118,35.013,58.448
